Pointages AviMéca
t;x;y
(s);(m);(m)
1,600;1,90E-1;0,00E+0
2,000;1,90E-1;-1,22E+1
2,400;-3,80E-1;-2,36E+1
2,800;-5,70E-1;-3,35E+1
3,200;-7,61E-1;-4,32E+1
3,600;-1,14E+0;-5,23E+1
4,000;-1,14E+0;-6,05E+1
4,400;-3,80E-1;-6,79E+1
4,800;-1,90E-1;-7,40E+1
5,200;-3,80E-1;-7,91E+1
5,600;-3,80E-1;-8,42E+1
6,000;0,00E+0;-8,77E+1
6,400;-1,90E-1;-9,09E+1
6,800;3,80E-1;-9,32E+1
7,200;3,80E-1;-9,49E+1
7,600;0,00E+0;-9,60E+1
